text,system,source,error_code,timestamp,category,priority,routing_team
[observability] lag (E401).,observability,batch_job,E401,2026-01-29T06:08:49Z,latency,P1,SRE
[gateway] permisison denied (E408).,gateway,partner,E408,2026-02-05T14:21:49Z,auth_issue,P2,Security
[mobile] cannot reach (E429). alert triggered from monitoring.,mobile,monitoring,E429,2026-02-01T09:04:49Z,outage,P0,SRE
[mobile] degraded (E504).,mobile,batch_job,E504,2026-01-30T02:26:49Z,latency,P2,SRE
[auth] unauthorized (E503).,auth,oncall,E503,2026-01-31T09:50:49Z,auth_issue,P2,Security
[search] checkout broken (TIMEOUT).,search,batch_job,TIMEOUT,2026-01-26T20:26:49Z,payment_issue,P0,Payments
[inventory] inconsistent state (E429).,inventory,qa,E429,2026-02-04T07:51:49Z,data_issue,P2,Data
[mobile] rollback (DB_CONN). occurred right after deployment.,mobile,batch_job,DB_CONN,2026-02-05T03:26:49Z,deployment_issue,P1,Platform
[observability] charge failed (TIMEOUT). alert triggered from monitoring. randomly,observability,monitoring,TIMEOUT,2026-01-28T23:00:49Z,payment_issue,P1,Payments
[mobile] permission denied (E403). urgent,mobile,qa,E403,2026-02-06T10:38:49Z,auth_issue,P2,Security
[gateway] charge failed (E403). user says app is broken.,gateway,user_report,E403,2026-01-27T07:19:49Z,payment_issue,P0,Payments
[billing] unauthorized (E500). alert triggered from monitoring.,billing,monitoring,E500,2026-01-31T02:11:49Z,auth_issue,P1,Security
[search] payment declined (OOM). alert triggered from monitoring. repro steps unknown,search,monitoring,OOM,2026-02-02T22:39:49Z,payment_issue,P0,Payments
[payments] rollback (E500). occurred right after deployment.,payments,batch_job,E500,2026-02-05T10:54:49Z,deployment_issue,P1,Platform
[gateway] degraded (E500).,gateway,batch_job,E500,2026-01-31T21:37:49Z,latency,P1,SRE
[gateway] checkout broken (DB_CONN). alert triggered from monitoring.,gateway,monitoring,DB_CONN,2026-02-09T11:34:49Z,payment_issue,P0,Payments
[observability] stale cache (E429).,observability,oncall,E429,2026-01-30T07:32:49Z,data_issue,P2,Data
[search] after deploy (E403). occurred right after deployment.,search,qa,E403,2026-01-30T03:16:49Z,deployment_issue,P1,Platform
[gateway] p95 high (E503).,gateway,oncall,E503,2026-02-01T14:23:49Z,latency,P1,SRE
[gateawy] checkout broken (E500). user says app is broken. intermittent,gateway,user_report,E500,2026-01-27T09:35:49Z,payment_issue,P1,Payments
[mobile] cannot reach (E502).,mobile,partner,E502,2026-01-30T07:38:49Z,outage,P0,SRE
[gateway] version mismatch (E503). occurred right after deployment. needs investigation,gateway,partner,E503,2026-02-04T12:07:49Z,deployment_issue,P1,Platform
[auth] version mismatch (E504). occurred right after deploymetn. randomly,auth,qa,E504,2026-02-09T04:06:49Z,deployment_issue,P1,Platform
[search] permission denied (E504).,search,batch_job,E504,2026-01-27T15:42:49Z,auth_issue,P1,Security
[mobile] version mismatch (E401). occurred right after deployment. happens since morning,mobile,oncall,E401,2026-02-08T09:58:49Z,deployment_issue,P1,Platform
[billing] toke ninvalid (E503). alert triggered from monitoring.,billing,monitoring,E503,2026-02-01T07:18:49Z,auth_issue,P2,Security
[billing] missing records (E408). user says app is broken.,billing,user_report,E408,2026-02-01T00:29:49Z,data_issue,P2,Data
[inventory] incorrect data (E408). seen by customers,inventory,oncall,E408,2026-02-01T22:30:49Z,data_issue,P3,Data
[search] 500 spike (DB_CONN). alert triggered from monitoring. happens since morning,search,monitoring,DB_CONN,2026-02-10T02:05:49Z,outage,P0,SRE
[payments] incorrect data (E503). user says app is broken.,payments,user_report,E503,2026-02-01T13:15:49Z,data_issue,P2,Data
[observability] incorrect data (E429).,observability,partner,E429,2026-02-09T15:27:49Z,data_issue,P3,Data
[mobile] cannot reach (DB_CONN). seen by customers,mobile,batch_job,DB_CONN,2026-02-09T03:04:49Z,outage,P1,SRE
[billing] stale cache (OOM).,billing,batch_job,OOM,2026-01-28T09:14:49Z,data_issue,P3,Data
[inventory] degraded (E504).,inventory,batch_job,E504,2026-02-08T20:54:49Z,latency,P1,SRE
[billing] token invalid (E500). after last change,billing,qa,E500,2026-02-08T07:34:49Z,auth_issue,P2,Security
[billing] timeout (TIMEOUT). user says app is broken.,billing,user_report,TIMEOUT,2026-01-28T17:26:49Z,outage,P0,SRE
[payments] unauthorized (OOM). randomly,payments,oncall,OOM,2026-02-07T03:59:49Z,auth_issue,P1,Security
[billing] missing records (E500). alert triggered from monitoring.,billing,monitoring,E500,2026-01-27T11:42:49Z,data_issue,P3,Data
[payments] version mismatch (DB_CONN). occurred right after deployment.,payments,partner,DB_CONN,2026-01-26T20:59:49Z,deployment_issue,P1,Platform
[payments] inconsistent state (E408). use rsays app is broken.,payments,user_report,E408,2026-02-08T07:48:49Z,data_issue,P2,Data
[inventory] checkout broken (E503). urgent,inventory,batch_job,E503,2026-01-27T06:12:49Z,payment_issue,P0,Payments
[search] after deploy (E401). occurred right after deployment.,search,partner,E401,2026-02-02T18:04:49Z,deployment_issue,P1,Platform
[inventory] permission denied (E403).,inventory,partner,E403,2026-02-01T10:02:49Z,auth_issue,P1,Security
[payments] incorrect data (E503). user says app is broken.,payments,user_report,E503,2026-01-29T02:33:49Z,data_issue,P2,Data
[gateway] service down (E502). needs investigation,gateway,oncall,E502,2026-01-29T23:49:49Z,outage,P0,SRE
[billing] after deploy (E503). alert triggered from monitoring. occurred right after deployment. happens since morning,billing,monitoring,E503,2026-01-31T17:45:49Z,deployment_issue,P1,Platform
[mobile] checkout broekn (DB_CONN). randomly,mobile,qa,DB_CONN,2026-01-27T08:23:49Z,payment_issue,P0,Payments
[billing] 500 spike (E503). alert triggered from monitoring. repro steps unknown,billing,monitoring,E503,2026-01-29T21:07:49Z,outage,P0,SRE
[billing] incorrect data (E403). user says app is broken. seen by customers,billing,user_report,E403,2026-02-07T04:12:49Z,data_issue,P2,Data
[gateway] missing records (E408). user says app is broken.,gateway,user_report,E408,2026-02-02T16:33:49Z,data_issue,P2,Data
[observability] version mismatch (OOM). occurred right after deployment. randomly,observability,qa,OOM,2026-01-30T21:31:49Z,deployment_issue,P2,Platform
[gateway] login fails (E401). repro steps unknown,gateway,partner,E401,2026-02-08T10:26:49Z,auth_issue,P1,Security
[auth] inconsistent state (OOM).,auth,partner,OOM,2026-01-30T05:53:49Z,data_issue,P3,Data
[inventory] payment declined (OOM).,inventory,oncall,OOM,2026-01-30T04:49:49Z,payment_issue,P1,Payments
[search] config error (E429). alert triggered from monitoring. occurred right after deployment.,search,monitoring,E429,2026-02-03T17:32:49Z,deployment_issue,P1,Platform
[billing] unavailable O(OM).,billing,qa,OOM,2026-02-05T07:27:49Z,outage,P0,SRE
[search] missing records (E403).,search,oncall,E403,2026-01-30T19:13:49Z,data_issue,P3,Data
[auth] checkout broken (TIMEOUT).,auth,oncall,TIMEOUT,2026-02-08T10:39:49Z,payment_issue,P2,Payments
[mobile] unavailable (E502). randomly,mobile,partner,E502,2026-02-07T00:13:49Z,outage,P0,SRE
[search] timeout (E500). alert triggered from monitoring.,search,monitoring,E500,2026-02-01T02:43:49Z,outage,P0,SRE
[mobile] lag (E408). user says app is broken. happens since morning,mobile,user_report,E408,2026-01-30T08:06:49Z,latency,P1,SRE
[observability] config error (E500). occurred right after deployment.,observability,partner,E500,2026-01-28T15:24:49Z,deployment_issue,P1,Platform
[inventory] inconsistent state (DB_CONN).,inventory,oncall,DB_CONN,2026-02-01T14:55:49Z,data_issue,P3,Data
[search] timeouts (OOM). user says app is broken.,search,user_report,OOM,2026-01-27T03:36:49Z,latency,P1,SRE
[auth] timeouts (E403).,auth,oncall,E403,2026-02-08T23:29:49Z,latency,P1,SRE
[observability] charge failed (E401).,observability,oncall,E401,2026-02-08T20:07:49Z,payment_issue,P0,Payments
[payments] version mismatch (E403). occurred right after deplyoment.,payments,oncall,E403,2026-02-07T08:51:49Z,deployment_issue,P1,Platform
[observability] service down (E401).,observability,partner,E401,2026-01-29T11:48:49Z,outage,P0,SRE
[mobile] timeouts (E500). alert triggered from monitoring.,mobile,monitoring,E500,2026-01-31T17:17:49Z,latency,P1,SRE
[auth] incorrect data (OOM). pls fix asap,auth,batch_job,OOM,2026-01-31T20:06:49Z,data_issue,P2,Data
[mobile] after deploy (DB_CONN). user says app is broken. occurred right after deployment.,mobile,user_report,DB_CONN,2026-02-01T14:31:49Z,deployment_issue,P1,Platform
[payments] cannot reach (E054). intermittent,payments,batch_job,E504,2026-01-29T09:41:49Z,outage,P1,SRE
[auth] slow response (E502).,auth,partner,E502,2026-01-27T09:52:49Z,latency,P1,SRE
[observabilit]y slow response (E408). intermittent,observability,qa,E408,2026-01-27T06:01:49Z,latency,P2,SRE
[gateway] incnosistent state (E503). pls fix asap,gateway,partner,E503,2026-01-27T11:00:49Z,data_issue,P3,Data
[gateway] webhook failed (E502). alert triggered from monitoring. randomly,gateway,monitoring,E502,2026-02-04T15:04:49Z,payment_issue,P1,Payments
[auth] cannot reach (E503). repro steps unknown,auth,qa,E503,2026-02-05T16:43:49Z,outage,P1,SRE
[mobile] permission denied (E504). user says app is broken.,mobile,user_report,E504,2026-02-03T22:41:49Z,auth_issue,P1,Security
[payments] config error (DB_CONN). alert triggered from monitoring. occurred right after deployment.,payments,monitoring,DB_CONN,2026-02-10T02:27:49Z,deployment_issue,P1,Platform
[observability] 500 spike (E408). alert triggered from monitoring.,observability,monitoring,E408,2026-02-01T02:38:49Z,outage,P1,SRE
[observability] charge failed (E502).,observability,oncall,E502,2026-02-07T04:20:49Z,payment_issue,P1,Payments
[search] charge failed (TIMEOUT).,search,batch_job,TIMEOUT,2026-01-31T21:37:49Z,payment_issue,P0,Payments
[observability] slow response (E403). user says app is broken.,observability,user_report,E403,2026-02-08T09:27:49Z,latency,P1,SRE
[billing] after deploy (E502). occurred right after deployment. seen by customers,billing,qa,E502,2026-01-29T08:22:49Z,deployment_issue,P1,Platform
[search] slow response (TIMEOUT).,search,oncall,TIMEOUT,2026-02-04T13:45:49Z,latency,P1,SRE
[billing] lag (TIMEOUT).,billing,batch_job,TIMEOUT,2026-01-29T15:48:49Z,latency,P1,SRE
[mobile] 500 spike (OOM).,mobile,batch_job,OOM,2026-02-07T13:41:49Z,outage,P1,SRE
[search] incorrect data (E503). user says app is broken. seen by customers,search,user_report,E503,2026-02-04T09:07:49Z,data_issue,P2,Data
[billing] unavailable (E500). repro steps unknown,billing,partner,E500,2026-01-31T14:16:49Z,outage,P0,SRE
[search] p95 high (OOM).,search,partner,OOM,2026-01-28T07:16:49Z,latency,P2,SRE
[payments] token invalid (OOM). needs investigation,payments,qa,OOM,2026-02-05T11:02:49Z,auth_issue,P2,Security
[observability] checkout broken (DB_CONN). user says app is broken. after last change,observability,user_report,DB_CONN,2026-02-02T17:08:49Z,payment_issue,P0,Payments
[billing] unauthorized (E408). happens since morning,billing,partner,E408,2026-02-01T14:15:49Z,auth_issue,P2,Security
[bililng] unavailable (E504). user says app is broken. after last change,billing,user_report,E504,2026-01-27T11:55:49Z,outage,P0,SRE
[inventory] stale cache (E502). user says app is broken.,inventory,user_report,E502,2026-02-01T16:50:49Z,data_issue,P2,Data
[gateway] cannot reach (E401). happens since morning,gateway,batch_job,E401,2026-02-10T06:03:49Z,outage,P0,SRE
[observability ]config error (DB_CONN). occurred right after deployment.,observability,partner,DB_CONN,2026-01-26T22:35:49Z,deployment_issue,P1,Platform
[billing] cannot reach (E502).,billing,batch_job,E502,2026-02-06T04:57:49Z,outage,P0,SRE
[observability] incorrect data (E500).,observability,partner,E500,2026-01-28T20:46:49Z,data_issue,P2,Data
[billing]i nconsistent state (E429). user says app is broken.,billing,user_report,E429,2026-01-28T15:48:49Z,data_issue,P2,Data
[observability] missing records (OOM). user says app is broken. after last change,observability,user_report,OOM,2026-01-31T07:28:49Z,data_issue,P3,Data
[gateway] inconsistent state (E502). happens since morning,gateway,partner,E502,2026-01-31T03:55:49Z,data_issue,P3,Data
[gateway] timeout (DB_CONN).,gateway,qa,DB_CONN,2026-01-28T12:45:49Z,outage,P0,SRE
[inventory] inconsistent state (E401).,inventory,qa,E401,2026-01-28T19:12:49Z,data_issue,P2,Data
[inventory] after deploy (OOM). alert triggered from monitoring. occurred right after deployment.,inventory,monitoring,OOM,2026-02-03T09:08:49Z,deployment_issue,P1,Platform
[mobile] charge failed (OOM).,mobile,partner,OOM,2026-02-02T14:57:49Z,payment_issue,P1,Payments
[billing] stale cache (E504). user says app is broken.,billing,user_report,E504,2026-01-30T10:30:49Z,data_issue,P3,Data
[gateway] p95 high (E504).,gateway,partner,E504,2026-02-05T21:36:49Z,latency,P1,SRE
[inventory] permission denied (E504).,inventory,qa,E504,2026-02-05T22:14:49Z,auth_issue,P1,Security
[mobile] timeouts (E502). randomly,mobile,batch_job,E502,2026-01-30T22:34:49Z,latency,P1,SRE
[observability] stale cache (E429). users ays app is broken.,observability,user_report,E429,2026-02-07T00:18:49Z,data_issue,P3,Data
[inventory] service down (E429). seen by customers,inventory,qa,E429,2026-02-09T13:22:49Z,outage,P0,SRE
[search] webhook failed (DB_CONN).,search,batch_job,DB_CONN,2026-01-27T04:40:49Z,payment_issue,P1,Payments
[inventory] degraded (E401). after last change,inventory,partner,E401,2026-01-28T16:10:49Z,latency,P1,SRE
[gateway] login fails (E401). alert triggered from monitoring.,gateway,monitoring,E401,2026-02-01T14:50:49Z,auth_issue,P2,Security
[search] token invalid (E504).,search,partner,E504,2026-02-05T09:10:49Z,auth_issue,P2,Security
[payments] token invalid (E502).,payments,qa,E502,2026-01-27T17:49:49Z,auth_issue,P1,Security
[billing] after deploy (E503). alert triggreed from monitoring. occurred right after deployment.,billing,monitoring,E503,2026-02-09T22:57:49Z,deployment_issue,P1,Platform
[inventory] unauthorized (E500).,inventory,batch_job,E500,2026-02-07T05:39:49Z,auth_issue,P1,Security
[auth] degraded (E500).,auth,batch_job,E500,2026-02-05T19:42:49Z,latency,P2,SRE
[inventory] payment declined (E408). user says app is broken.,inventory,user_report,E408,2026-01-29T13:23:49Z,payment_issue,P0,Payments
[observability] p95 high (DB_CONN).,observability,partner,DB_CONN,2026-02-05T04:23:49Z,latency,P1,SRE
[auth] missing records (TIMEOUT). alert triggered from monitoring.,auth,monitoring,TIMEOUT,2026-02-03T03:38:49Z,data_issue,P2,Data
[invetnory] charge failed (OOM).,inventory,qa,OOM,2026-02-02T13:18:49Z,payment_issue,P1,Payments
[observability] after deploy (E500). occurred right after deployment.,observability,qa,E500,2026-02-01T05:19:49Z,deployment_issue,P1,Platform
[mobile] incorrect data (E403).,mobile,oncall,E403,2026-02-05T18:10:49Z,data_issue,P2,Data
[search] checkout broken (DB_CONN).,search,qa,DB_CONN,2026-02-04T04:38:49Z,payment_issue,P1,Payments
[search]5 00 spike (E502).,search,qa,E502,2026-01-29T07:02:49Z,outage,P1,SRE
[observability] webhook failed (TIMEOUT). urgent,observability,qa,TIMEOUT,2026-02-09T09:55:49Z,payment_issue,P1,Payments
[payments] service down (E429). user says app is broken.,payments,user_report,E429,2026-02-06T08:19:49Z,outage,P1,SRE
[mobile] msising records (E429). happens since morning,mobile,batch_job,E429,2026-01-31T11:32:49Z,data_issue,P2,Data
[billing] lag (E500). user says app is broken. seen by customers,billing,user_report,E500,2026-01-30T09:54:49Z,latency,P1,SRE
[observability] config error (E502). alert triggered from monitoring. occurred right after deployment.,observability,monitoring,E502,2026-02-05T19:10:49Z,deployment_issue,P2,Platform
[observability] token invalid (E429). user says app is broken.,observability,user_report,E429,2026-02-01T15:13:49Z,auth_issue,P1,Security
[mobile] timeouts (E500). user says app is broken. intermittent,mobile,user_report,E500,2026-02-09T22:57:49Z,latency,P2,SRE
[payments] missing records (E429). alert triggered from monitoring.,payments,monitoring,E429,2026-02-06T07:08:49Z,data_issue,P3,Data
[inventory] config error (E403). occurred right after deployment. happens since morning,inventory,qa,E403,2026-01-28T21:57:49Z,deployment_issue,P1,Platform
[observability] unauthorized (DB_CONN).,observability,partner,DB_CONN,2026-02-08T07:51:49Z,auth_issue,P1,Security
[billing] permission denied (E502). user says app is broken.,billing,user_report,E502,2026-02-09T22:46:49Z,auth_issue,P1,Security
[mobile] timeouts (E408). needs investigation,mobile,oncall,E408,2026-01-30T10:00:49Z,latency,P1,SRE
[gateway] config error (DB_CONN). occurred right after deployment.,gateway,batch_job,DB_CONN,2026-02-07T07:47:49Z,deployment_issue,P1,Platform
[observability] after deploy (TIMEOUT). user says app is broken. occurred right after deployment. pls fix asap,observability,user_report,TIMEOUT,2026-01-29T06:55:49Z,deployment_issue,P1,Platform
[search] 500 spike (E429).,search,qa,E429,2026-01-31T10:39:49Z,outage,P0,SRE
[observability] service down (E504). repro steps unknown,observability,qa,E504,2026-02-01T22:20:49Z,outage,P0,SRE
[mobile] timeout (E403). user says app is broken.,mobile,user_report,E403,2026-01-27T20:04:49Z,outage,P0,SRE
[mobile] webhook failed (E502). alert triggered from monitoring.,mobile,monitoring,E502,2026-02-08T10:27:49Z,payment_issue,P0,Payments
[payments] webhook faield (E503). alert triggered from monitoring. after last change,payments,monitoring,E503,2026-01-30T20:45:49Z,payment_issue,P1,Payments
[auth] p95 high (E401).,auth,partner,E401,2026-01-30T22:24:49Z,latency,P2,SRE
[payments] 500 spike (E502). user says app is broken. intermittent,payments,user_report,E502,2026-01-31T18:38:49Z,outage,P1,SRE
[billing] after deploy (E408). occurred right after deployment. after last change,billing,batch_job,E408,2026-02-07T05:00:49Z,deployment_issue,P1,Platform
[mobile] version mismatch (E401). occurred right after deployment.,mobile,oncall,E401,2026-02-03T18:10:49Z,deployment_issue,P2,Platform
[mobile] token invalid (OOM). alert triggered from monitoring.,mobile,monitoring,OOM,2026-01-28T11:12:49Z,auth_issue,P1,Security
[mobile] service down (E502).,mobile,oncall,E502,2026-02-06T04:13:49Z,outage,P0,SRE
[auth] webhook failed (E503). user syas app is broken. happens since morning,auth,user_report,E503,2026-01-27T19:21:49Z,payment_issue,P0,Payments
[gateway] timeout (E503). repro steps unknown,gateway,batch_job,E503,2026-02-05T22:50:49Z,outage,P0,SRE
[search] checkout broken (E408). alert triggered from monitoring. repro steps unknown,search,monitoring,E408,2026-02-06T07:41:49Z,payment_issue,P0,Payments
[observability] degraded (OOM).,observability,partner,OOM,2026-02-04T11:57:49Z,latency,P1,SRE
[billing] payment declined (E502).,billing,batch_job,E502,2026-02-02T21:10:49Z,payment_issue,P0,Payments
[mobile] config error (E500). occurred right after deployment. after last change,mobile,oncall,E500,2026-02-05T03:22:49Z,deployment_issue,P1,Platform
[inventory] lag (TIMEOUT).,inventory,partner,TIMEOUT,2026-02-06T16:30:49Z,latency,P1,SRE
[gateway] webhook failed (E403). seen by customers,gateway,qa,E403,2026-01-29T17:31:49Z,payment_issue,P0,Payments
